# DDD Analysis Dataset Generated: 2025-10-06 21:21:27
# AOI Center: 45.464200, 9.191400
# AOI Radius: 1500 meters
# Buffer Distance: 1000 meters
# Total Features: 926
# Source PBF: nord-ovest-latest.osm.pbf
#
# Column descriptions:
# - osm_id: OpenStreetMap element ID
# - name: Name of the facility (if available)
# - kind: Category (supermarket, poi, or control)
# - subcategory: Specific OSM tag value (supermarket, bakery, butcher, etc.)
# - source: OSM element type (node or area)
# - zone: Whether in AOI or buffer zone
# - lat, lon: Coordinates in WGS84
# - timestamp: OSM creation timestamp (proxy for opening date)
# - distance_to_duomo_m: Distance to Duomo di Milano in meters
#
# Treatment POI Categories: bakery, greengrocer, butcher, convenience
# Supermarket Category: supermarket
# Control Categories (AOI only): funeral_directors, hairdresser, restaurant
#
osm_id,name,kind,subcategory,source,zone,lat,lon,timestamp,distance_to_duomo_m
2459462117,Vista Duomo,control,restaurant,node,aoi,45.4645223,9.1884182,2024-03-25 10:19:15,234.34306508961922
2464701024,,supermarket,supermarket,node,buffer,45.465619,9.2203743,2018-10-07 16:21:22,2271.8027032188093
2466796985,Ipercoop,supermarket,supermarket,node,buffer,45.4480501,9.2124663,2025-02-26 17:19:22,2437.40383968196
2476717584,Ristorante Santa Marta,control,restaurant,node,aoi,45.462983,9.1835919,2025-06-09 04:43:31,624.1792742081462
2476717585,Trattoria Milanese,control,restaurant,node,aoi,45.4629296,9.1836757,2019-01-30 23:34:22,619.1254822146137
2476767219,Carrefour Express,poi,convenience,node,buffer,45.460851,9.210355,2021-05-17 14:35:07,1529.4608315573078
2479386548,KoBo vegan,poi,bakery,node,buffer,45.4864537,9.187349,2025-04-17 15:43:59,2491.1296552438184
2480553392,Dal fornaio,poi,bakery,node,buffer,45.4501332,9.2120563,2020-09-07 16:37:50,2249.161429882102
2485511085,Izakaya,control,restaurant,node,aoi,45.4772153,9.1921187,2025-09-11 06:46:50,1445.8805660073504
2485511125,,poi,bakery,node,aoi,45.477047,9.192085,2013-10-06 19:48:44,1427.0942226543227
